rank,name,position,team,comp,attempt,pass_yds,pass_td,int,car,rush_yds,rush_td,receptions,rec_yds,rec_td,tar,pct_rost,pts_tot,pts_avg
332,Jelani Woods,TE,Ind,0,0,0,0,0,0,0,0,13,132,1,19,0.7,33.2,2.1
333,Taysom Hill,TE,NO,0,0,0,0,0,18,91,1,7,77,1,11,1.4,36.4,2.3
334,Pharaoh Brown,TE,Hou,0,0,0,0,0,0,0,0,21,201,1,30,0.1,47.8,3
335,Tyler Huntley,QB,Bal,31,48,323,2,1,14,77,1,0,0,0,0,0.4,34.3,8.6
336,Tyrod Taylor,QB,NYG,43,69,470,2,2,12,61,1,0,0,0,0,0.2,35.7,8.9
337,Malik Willis,QB,Ten,18,29,201,1,1,5,29,0,0,0,0,0,1.4,17.8,8.9
338,Jordan Love,QB,GB,21,33,245,3,1,3,11,0,0,0,0,0,0.5,24.6,12.3
339,Andy Dalton,QB,NO,42,65,456,3,2,7,28,0,0,0,0,0,0.2,35.3,8.8
340,Joe Flacco,QB,NYJ,45,72,508,3,1,4,13,0,0,0,0,0,0.3,34.4,8.6
341,Taylor Heinicke,QB,Wsh,11,16,115,1,0,2,10,0,0,0,0,0,0.2,9.9,5
342,Kyle Allen,QB,Hou,45,71,498,2,2,4,18,0,0,0,0,0,0.1,30.5,7.6
343,Matt Corral,QB,Car,22,36,239,1,1,3,12,0,0,0,0,0,0.6,12,6
344,Chad Henne,QB,KC,26,39,286,2,1,3,9,0,0,0,0,0,0.1,24.9,12.4
345,Younghoe Koo,K,Atl,0,0,0,0,0,0,0,0,0,0,0,0,13.7,124.4,7.3
346,Brett Maher,K,Dal,0,0,0,0,0,0,0,0,0,0,0,0,0.9,126.5,7.4
347,Joey Slye,K,Wsh,0,0,0,0,0,0,0,0,0,0,0,0,0.9,124.9,7.3
348,Austin Seibert,K,Det,0,0,0,0,0,0,0,0,0,0,0,0,0.4,123.1,7.2
349,Wil Lutz,K,NO,0,0,0,0,0,0,0,0,0,0,0,0,2.9,122.4,7.2
350,Randy Bullock,K,Ten,0,0,0,0,0,0,0,0,0,0,0,0,0.8,122.2,7.2
351,Ryan Santoso,K,Jax,0,0,0,0,0,0,0,0,0,0,0,0,0.2,121.2,7.1
352,Rodrigo Blankenship,K,Ind,0,0,0,0,0,0,0,0,0,0,0,0,3.8,119.2,7
353,Greg Zuerlein,K,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0.7,119.6,7
354,Zane Gonzalez,K,Car,0,0,0,0,0,0,0,0,0,0,0,0,0.5,121.8,7.2
355,Cairo Santos,K,Chi,0,0,0,0,0,0,0,0,0,0,0,0,0.8,120.1,7.1
356,Jason Myers,K,Sea,0,0,0,0,0,0,0,0,0,0,0,0,0.7,119.5,7
357,Ka'imi Fairbairn,K,Hou,0,0,0,0,0,0,0,0,0,0,0,0,0.3,116,6.8
358,Jason Sanders,K,Mia,0,0,0,0,0,0,0,0,0,0,0,0,1.3,108.2,6.4
359,Raiders D/ST,D/ST,LV,0,0,0,0,0,0,0,0,0,0,0,0,2.1,126.8,7.5
360,Cardinals D/ST,D/ST,Ari,0,0,0,0,0,0,0,0,0,0,0,0,1.5,109.8,6.5
361,Bears D/ST,D/ST,Chi,0,0,0,0,0,0,0,0,0,0,0,0,1.2,117.4,6.9
362,Jets D/ST,D/ST,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0.9,122.1,7.2
363,Chiefs D/ST,D/ST,KC,0,0,0,0,0,0,0,0,0,0,0,0,2.8,110,6.5
364,Seahawks D/ST,D/ST,Sea,0,0,0,0,0,0,0,0,0,0,0,0,0.7,110,6.5
365,Jaguars D/ST,D/ST,Jax,0,0,0,0,0,0,0,0,0,0,0,0,0.5,116.2,6.8
366,Falcons D/ST,D/ST,Atl,0,0,0,0,0,0,0,0,0,0,0,0,0.4,108.7,6.4
367,Lions D/ST,D/ST,Det,0,0,0,0,0,0,0,0,0,0,0,0,0.8,89.3,5.3
368,Texans D/ST,D/ST,Hou,0,0,0,0,0,0,0,0,0,0,0,0,0.5,98.2,5.8
369,David Bell,WR,Cle,0,0,0,0,0,0,0,0,26,304,2,40,1.2,67.6,4.2
370,Phillip Dorsett,WR,Hou,0,0,0,0,0,0,0,0,25,314,2,42,0.1,64.4,4
371,James Proche II,WR,Bal,0,0,0,0,0,0,0,0,26,305,2,40,0.3,65.6,4.1
372,Olamide Zaccheaus,WR,Atl,0,0,0,0,0,0,0,0,25,303,1,43,0.3,60.2,3.8
373,Nelson Agholor,WR,NE,0,0,0,0,0,4,27,0,20,269,2,33,0.6,58.6,3.7
374,Josh Reynolds,WR,Det,0,0,0,0,0,0,0,0,19,267,2,33,0.4,55.5,3.5
375,Freddie Swain,WR,Sea,0,0,0,0,0,2,12,0,21,263,1,34,0.1,56.5,3.5
376,Noah Brown,WR,Dal,0,0,0,0,0,0,0,0,20,253,2,33,0.6,54.5,3.4
377,Geoff Swaim,TE,Ten,0,0,0,0,0,0,0,0,23,197,2,31,0.1,56.8,3.6
378,Calvin Austin III,WR,Pit,0,0,0,0,0,0,0,0,22,244,1,35,0.6,51.8,3.2
379,Kyle Juszczyk,RB,SF,0,0,0,0,0,10,42,0,21,160,1,28,0.4,54.6,3.4
380,Tylan Wallace,WR,Bal,0,0,0,0,0,0,0,0,19,229,2,30,0.2,50,3.1
381,Jalen Guyton,WR,LAC,0,0,0,0,0,9,51,0,14,193,2,24,0.3,49.7,3.1
382,Ihmir Smith-Marsette,WR,Min,0,0,0,0,0,0,0,0,18,215,2,28,0.2,48.8,3
383,James O'Shaughnessy,TE,Chi,0,0,0,0,0,0,0,0,22,218,1,32,0.1,48.4,3
384,Laviska Shenault Jr.,WR,Jax,0,0,0,0,0,8,42,0,17,184,1,26,0.8,47.1,2.9
385,Tyrie Cleveland,WR,Den,0,0,0,0,0,0,0,0,17,209,2,27,0.1,45.9,2.9
386,Tyquan Thornton,WR,NE,0,0,0,0,0,0,0,0,17,205,1,27,1,45.3,2.8
387,Quez Watkins,WR,Phi,0,0,0,0,0,0,0,0,16,195,1,24,0.5,42.9,2.7
388,Ian Thomas,TE,Car,0,0,0,0,0,0,0,0,19,189,1,29,0.1,42.5,2.7
389,Amari Rodgers,WR,GB,0,0,0,0,0,0,0,0,14,172,1,23,0.7,40.3,2.5
390,Darius Slayton,WR,NYG,0,0,0,0,0,0,0,0,14,203,1,27,0.5,36.8,2.3
391,Ashton Dulin,WR,Ind,0,0,0,0,0,5,30,0,13,159,1,21,0.1,38.5,2.4
392,Jordan Akins,TE,NYG,0,0,0,0,0,0,0,0,16,162,1,23,0.1,39.6,2.5
393,Keelan Cole,WR,LV,0,0,0,0,0,0,0,0,13,170,1,23,0.2,36,2.3
394,Montrell Washington,WR,Den,0,0,0,0,0,0,0,0,12,144,1,19,0.2,36.7,2.3
395,Brandon Zylstra,WR,Car,0,0,0,0,0,0,0,0,15,176,1,23,0.1,35.9,2.2
396,Zach Pascal,WR,Phi,0,0,0,0,0,0,0,0,12,144,2,21,0.3,33.8,2.1
397,Chester Rogers,WR,Hou,0,0,0,0,0,0,0,0,16,153,1,24,0,35.3,2.2
398,Anthony Firkser,TE,Atl,0,0,0,0,0,0,0,0,16,136,1,21,0.1,35.4,2.2
399,Equanimeous St. Brown,WR,Chi,0,0,0,0,0,0,0,0,12,169,1,21,0.2,31.4,2
400,Marquez Callaway,WR,NO,0,0,0,0,0,9,53,0,9,116,1,16,0.5,32.3,2
