rank,name,position,team,comp,attempt,pass_yds,pass_td,int,car,rush_yds,rush_td,receptions,rec_yds,rec_td,tar,pct_rost,pts_tot,pts_avg
143,Packers D/ST,D/ST,GB,0,0,0,0,0,0,0,0,0,0,0,0,94.2,177.6,10.4
144,Ravens D/ST,D/ST,Bal,0,0,0,0,0,0,0,0,0,0,0,0,93.2,180.4,10.6
145,49ers D/ST,D/ST,SF,0,0,0,0,0,0,0,0,0,0,0,0,92.5,162.8,9.6
146,Buccaneers D/ST,D/ST,TB,0,0,0,0,0,0,0,0,0,0,0,0,90.5,154.3,9.1
147,Cowboys D/ST,D/ST,Dal,0,0,0,0,0,0,0,0,0,0,0,0,81,158.9,9.3
148,Colts D/ST,D/ST,Ind,0,0,0,0,0,0,0,0,0,0,0,0,82.6,168,9.9
149,Commanders D/ST,D/ST,Wsh,0,0,0,0,0,0,0,0,0,0,0,0,65.5,160.7,9.5
150,Steelers D/ST,D/ST,Pit,0,0,0,0,0,0,0,0,0,0,0,0,58.7,158.9,9.3
151,Justin Tucker,K,Bal,0,0,0,0,0,0,0,0,0,0,0,0,99.6,143.4,8.4
152,Evan McPherson,K,Cin,0,0,0,0,0,0,0,0,0,0,0,0,99.4,146.8,8.6
153,Matt Gay,K,LAR,0,0,0,0,0,0,0,0,0,0,0,0,98.3,145.7,8.6
154,Harrison Butker,K,KC,0,0,0,0,0,0,0,0,0,0,0,0,97.3,144,8.5
155,Daniel Carlson,K,LV,0,0,0,0,0,0,0,0,0,0,0,0,91.5,137.2,8.1
156,Brandon McManus,K,Den,0,0,0,0,0,0,0,0,0,0,0,0,86.3,137.8,8.1
157,Nick Folk,K,NE,0,0,0,0,0,0,0,0,0,0,0,0,86.2,140.3,8.3
158,Tyler Bass,K,Buf,0,0,0,0,0,0,0,0,0,0,0,0,83.4,127.4,7.5
159,Matt Prater,K,Ari,0,0,0,0,0,0,0,0,0,0,0,0,76,130.5,7.7
160,Graham Gano,K,NYG,0,0,0,0,0,0,0,0,0,0,0,0,51.1,131.5,7.7
161,Marlon Mack,RB,Hou,0,0,0,0,0,139,610,4,18,122,0,24,35.4,119.5,8.5
162,DeVante Parker,WR,NE,0,0,0,0,0,0,0,0,51,692,4,90,21.4,134.9,9
163,Jalen Tolbert,WR,Dal,0,0,0,0,0,0,0,0,52,702,5,85,22.8,151.4,9.5
164,Justin Fields,QB,Chi,325,515,3627,18,15,104,602,3,0,0,0,0,22.2,270.6,16.9
165,Michael Gallup,WR,Dal,0,0,0,0,0,0,0,0,43,634,5,75,29.3,129.7,10.8
166,Rondale Moore,WR,Ari,0,0,0,0,0,21,117,1,54,544,3,72,27.3,150.4,9.4
167,Nico Collins,WR,Hou,0,0,0,0,0,0,0,0,57,748,4,95,7.1,148.2,9.3
168,Julio Jones,WR,TB,0,0,0,0,0,0,0,0,47,573,4,72,33.3,127,9.1
169,Van Jefferson,WR,LAR,0,0,0,0,0,4,27,0,48,701,5,83,11.4,147.2,9.2
170,Curtis Samuel,WR,Wsh,0,0,0,0,0,13,76,1,45,527,4,71,6,132,8.8
171,Isaiah Spiller,RB,LAC,0,0,0,0,0,136,588,4,18,131,1,23,20.7,122.5,8.2
172,Evan Engram,TE,Jax,0,0,0,0,0,0,0,0,50,571,3,83,14,120.1,8
173,Jamaal Williams,RB,Det,0,0,0,0,0,144,583,4,21,126,1,25,13.7,122.1,8.7
174,Alexander Mattison,RB,Min,0,0,0,0,0,118,475,4,22,159,1,28,30.4,113.4,7.6
175,Darrell Henderson Jr.,RB,LAR,0,0,0,0,0,91,399,3,22,166,1,30,18.8,107.4,7.7
176,Deshaun Watson,QB,Cle,223,340,2545,17,7,64,336,3,0,0,0,0,42.4,243.4,22.1
177,Daniel Jones,QB,NYG,333,527,3721,20,12,73,381,3,0,0,0,0,8.9,283.3,18.9
178,Christian Watson,WR,GB,0,0,0,0,0,4,24,0,43,564,5,69,51.4,128,8
179,Wan'Dale Robinson,WR,NYG,0,0,0,0,0,12,72,1,53,609,3,82,4.2,141.6,8.9
180,Jameson Williams,WR,Det,0,0,0,0,0,0,0,0,32,440,3,52,42.5,90.9,10.1
181,Cedrick Wilson Jr.,WR,Mia,0,0,0,0,0,0,0,0,54,655,4,82,3.1,144,9
182,Tyler Allgeier,RB,Atl,0,0,0,0,0,101,415,2,16,116,1,21,11.7,84,5.6
183,Khalil Herbert,RB,Chi,0,0,0,0,0,108,464,3,17,119,1,22,5.8,99.3,6.6
184,Ronald Jones,RB,KC,0,0,0,0,0,125,533,5,14,98,0,19,31,109.3,7.3
185,Austin Hooper,TE,Ten,0,0,0,0,0,0,0,0,50,493,4,74,10.1,126.7,8.4
186,Kenneth Gainwell,RB,Phi,0,0,0,0,0,77,332,3,25,192,1,34,6.2,103.4,6.9
187,Sony Michel,RB,Mia,0,0,0,0,0,116,477,3,8,60,0,12,4.5,82.1,5.5
188,Hayden Hurst,TE,Cin,0,0,0,0,0,0,0,0,52,533,4,74,10.8,133.3,8.3
189,Chargers D/ST,D/ST,LAC,0,0,0,0,0,0,0,0,0,0,0,0,46.9,149.7,8.8
190,Browns D/ST,D/ST,Cle,0,0,0,0,0,0,0,0,0,0,0,0,48.3,147.6,8.7
191,Greg Joseph,K,Min,0,0,0,0,0,0,0,0,0,0,0,0,20.5,132.3,7.8
192,Jake Elliott,K,Phi,0,0,0,0,0,0,0,0,0,0,0,0,28.1,129.8,7.6
193,Jamison Crowder,WR,Buf,0,0,0,0,0,0,0,0,43,436,4,65,7.6,108.9,7.3
194,Kenyan Drake,RB,LV,0,0,0,0,0,75,325,3,30,252,1,41,6.9,115.8,8.3
195,Jerick McKinnon,RB,KC,0,0,0,0,0,32,139,1,28,235,1,38,4,85.6,6.6
196,Rachaad White,RB,TB,0,0,0,0,0,76,324,3,24,185,1,32,6,98.5,6.6
197,Mark Ingram II,RB,NO,0,0,0,0,0,120,463,4,16,112,0,21,14.1,96.8,6.9
198,Rex Burkhead,RB,Hou,0,0,0,0,0,60,231,2,37,286,2,48,3.8,112.9,8.1
199,Darrel Williams,RB,Ari,0,0,0,0,0,59,241,3,27,224,1,34,5,99.6,6.6
200,Brian Robinson,RB,Wsh,0,0,0,0,0,98,413,4,12,88,0,16,4.5,91.9,6.1
201,Zamir White,RB,LV,0,0,0,0,0,71,294,3,11,82,0,14,3.5,67.3,4.5
202,Gus Edwards,RB,Bal,0,0,0,0,0,101,481,3,13,97,1,17,8.1,94.6,7.9
203,Isaiah McKenzie,WR,Buf,0,0,0,0,0,10,58,1,38,375,3,53,2.3,107.5,6.7
204,Alec Pierce,WR,Ind,0,0,0,0,0,0,0,0,49,659,4,80,8.5,137,8.6
205,Kendrick Bourne,WR,NE,0,0,0,0,0,13,93,1,49,525,3,66,3.4,140.4,8.8
206,Chuba Hubbard,RB,Car,0,0,0,0,0,61,241,2,13,91,0,17,5.2,59.8,4
207,D'Onta Foreman,RB,Car,0,0,0,0,0,69,293,2,9,64,0,11,2.3,58.3,3.9
208,Hassan Haskins,RB,Ten,0,0,0,0,0,53,220,1,12,88,0,15,1.7,55.1,3.7
209,Tyrion Davis-Price,RB,SF,0,0,0,0,0,59,253,2,7,50,0,9,2.3,50.7,3.4
210,D'Ernest Johnson,RB,Cle,0,0,0,0,0,25,116,1,4,26,0,5,1.5,23.6,1.6
211,Damien Williams,RB,Atl,0,0,0,0,0,81,354,2,24,190,1,33,2,102.1,7.3
