"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
60,"Miles Sanders","RB","Phi",0,0,0,0,0,221,1079,5,32,260,1,43,89.7,212.4,14.2,15,25,"rb3",2.01666666666667,2.05,0.165526675786594,0.168724279835391,9.32421340629275,9.34979423868313,0.602941176470588,12.8235294117647,10.4991790189135
61,"Devin Singletary","RB","Buf",0,0,0,0,0,200,908,7,31,207,1,41,88.5,194.4,13,15,26,"rb3",0.816666666666666,0.85,0.06703146374829,0.0699588477366255,8.53625170998632,8.559670781893,0.25,10,9.03197416395978
62,"Cordarrelle Patterson","RB","Atl",0,0,0,0,0,134,546,3,45,395,2,60,89.8,172.9,12.3,14,27,"rb3",0.116666666666667,0.15,0.0095759233926129,0.0123456790123457,8.0766073871409,8.09876543209877,0.0441176470588237,8.35294117647059,8.17610466523675
63,"Darren Waller","TE","LV",0,0,0,0,0,0,0,0,68,881,5,106,98.9,186.7,11.7,16,4,"te1",0.375,0.5,0.033112582781457,0.0446428571428571,5.16556291390728,5.22321428571429,0.0769230769230769,5.38461538461538,5.25779752807899
64,"George Kittle","TE","SF",0,0,0,0,0,2,12,0,66,818,5,95,98,182.8,12.2,15,5,"te1",0.875,1,0.0772626931567329,0.0892857142857143,5.38631346578366,5.44642857142857,0.153846153846154,5.76923076923077,5.533990935481
65,"Allen Robinson II","WR","LAR",0,0,0,0,0,0,0,0,71,920,6,119,88.5,191.5,12,16,30,"wr3",-0.741666666666667,-0.65,-0.0582079790712885,-0.0513833992094862,9.41792020928711,9.48616600790514,-0.325,6.75,8.55136207239742
66,"Hunter Renfrow","WR","LV",0,0,0,0,0,4,23,0,79,805,6,106,89.9,208.5,13,16,31,"wr3",0.258333333333333,0.35,0.0202746893394375,0.0276679841897233,10.2027468933944,10.2766798418972,0.175,11.75,10.7431422450972
67,"Adam Thielen","WR","Min",0,0,0,0,0,0,0,0,73,797,7,105,89.4,197.5,13.2,15,32,"wr3",0.458333333333332,0.549999999999999,0.0359712230215826,0.0434782608695651,10.3597122302158,10.4347826086957,0.274999999999999,12.75,11.1814982796372
68,"Drake London","WR","Atl",0,0,0,0,0,0,0,0,74,930,4,118,85.3,188.3,11.8,16,33,"wr3",-0.941666666666666,-0.85,-0.0739045127534336,-0.067193675889328,9.26095487246566,9.32806324110672,-0.425,5.75,8.11300603785746
69,"Rashod Bateman","WR","Bal",0,0,0,0,0,0,0,0,76,930,5,117,85.3,196,12.3,16,34,"wr3",-0.441666666666666,-0.35,-0.0346631785480706,-0.0276679841897233,9.65336821451929,9.72332015810277,-0.175,8.25,9.20889612420735
