"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
146,"Buccaneers D/ST","D/ST","TB",0,0,0,0,0,0,0,0,0,0,0,0,90.5,154.3,9.1,17,6,"def1",-0.658333333333333,-0.450000000000001,-0.067463706233988,-0.0471204188481676,0.932536293766012,0.952879581151832,-0.1875,0.8125,0.899305291639281
147,"Cowboys D/ST","D/ST","Dal",0,0,0,0,0,0,0,0,0,0,0,0,81,158.9,9.3,17,7,"def1",-0.458333333333332,-0.25,-0.0469684030742954,-0.0261780104712042,0.953031596925705,0.973821989528796,-0.104166666666667,0.895833333333333,0.940895639929278
148,"Colts D/ST","D/ST","Ind",0,0,0,0,0,0,0,0,0,0,0,0,82.6,168,9.9,17,8,"def1",0.141666666666667,0.35,0.0145175064047823,0.0366492146596858,1.01451750640478,1.03664921465969,0.145833333333333,1.14583333333333,1.06566668479927
149,"Commanders D/ST","D/ST","Wsh",0,0,0,0,0,0,0,0,0,0,0,0,65.5,160.7,9.5,17,9,"def1",-0.258333333333333,-0.0500000000000007,-0.0264730999146029,-0.00523560209424091,0.973526900085397,0.994764397905759,-0.0208333333333336,0.979166666666666,0.982485988219274
150,"Steelers D/ST","D/ST","Pit",0,0,0,0,0,0,0,0,0,0,0,0,58.7,158.9,9.3,17,10,"def1",-0.458333333333332,-0.25,-0.0469684030742954,-0.0261780104712042,0.953031596925705,0.973821989528796,-0.104166666666667,0.895833333333333,0.940895639929278
151,"Justin Tucker","K","Bal",0,0,0,0,0,0,0,0,0,0,0,0,99.6,143.4,8.4,17,1,"k1",0.325000000000001,0.300000000000001,0.040247678018576,0.0370370370370371,1.04024767801858,1.03703703703704,0.272727272727273,1.27272727272727,1.1166706625943
152,"Evan McPherson","K","Cin",0,0,0,0,0,0,0,0,0,0,0,0,99.4,146.8,8.6,17,2,"k1",0.525,0.5,0.065015479876161,0.0617283950617284,1.06501547987616,1.06172839506173,0.454545454545455,1.45454545454545,1.19376310982778
153,"Matt Gay","K","LAR",0,0,0,0,0,0,0,0,0,0,0,0,98.3,145.7,8.6,17,3,"k1",0.525,0.5,0.065015479876161,0.0617283950617284,1.06501547987616,1.06172839506173,0.454545454545455,1.45454545454545,1.19376310982778
154,"Harrison Butker","K","KC",0,0,0,0,0,0,0,0,0,0,0,0,97.3,144,8.5,17,4,"k1",0.425000000000001,0.4,0.0526315789473685,0.0493827160493828,1.05263157894737,1.04938271604938,0.363636363636364,1.36363636363636,1.15521688621104
155,"Daniel Carlson","K","LV",0,0,0,0,0,0,0,0,0,0,0,0,91.5,137.2,8.1,17,5,"k1",0.0250000000000004,0,0.00309597523219819,0,1.0030959752322,1,0,1,1.00103199174407
156,"Brandon McManus","K","Den",0,0,0,0,0,0,0,0,0,0,0,0,86.3,137.8,8.1,17,6,"k1",0.0250000000000004,0,0.00309597523219819,0,1.0030959752322,1,0,1,1.00103199174407
157,"Nick Folk","K","NE",0,0,0,0,0,0,0,0,0,0,0,0,86.2,140.3,8.3,17,7,"k1",0.225000000000001,0.200000000000001,0.0278637770897835,0.0246913580246915,1.02786377708978,1.02469135802469,0.181818181818183,1.18181818181818,1.07812443897755
158,"Tyler Bass","K","Buf",0,0,0,0,0,0,0,0,0,0,0,0,83.4,127.4,7.5,17,8,"k1",-0.574999999999999,-0.6,-0.0712074303405572,-0.074074074074074,0.928792569659443,0.925925925925926,-0.545454545454545,0.454545454545455,0.769754650043608
159,"Matt Prater","K","Ari",0,0,0,0,0,0,0,0,0,0,0,0,76,130.5,7.7,17,9,"k1",-0.374999999999999,-0.399999999999999,-0.046439628482972,-0.0493827160493827,0.953560371517028,0.950617283950617,-0.363636363636363,0.636363636363637,0.846847097277094
160,"Graham Gano","K","NYG",0,0,0,0,0,0,0,0,0,0,0,0,51.1,131.5,7.7,17,10,"k1",-0.374999999999999,-0.399999999999999,-0.046439628482972,-0.0493827160493827,0.953560371517028,0.950617283950617,-0.363636363636363,0.636363636363637,0.846847097277094
161,"Marlon Mack","RB","Hou",0,0,0,0,0,139,610,4,18,122,0,24,35.4,119.5,8.5,14,45,"rb4",-0.633333333333333,-0.75,-0.0693430656934306,-0.0810810810810811,0.930656934306569,0.918918918918919,-0.3125,0.6875,0.845691951075163
164,"Justin Fields","QB","Chi",325,515,3627,18,15,104,602,3,0,0,0,0,22.2,270.6,16.9,16,18,"QB2",-2.475,-1.95,-0.127741935483871,-0.103448275862069,0.872258064516129,0.896551724137931,-0.348214285714286,0.651785714285714,0.806865167646591
171,"Isaiah Spiller","RB","LAC",0,0,0,0,0,136,588,4,18,131,1,23,20.7,122.5,8.2,15,46,"rb4",-0.933333333333334,-1.05,-0.102189781021898,-0.113513513513514,0.897810218978102,0.886486486486486,-0.4375,0.5625,0.782265568488196
172,"Evan Engram","TE","Jax",0,0,0,0,0,0,0,0,50,571,3,83,14,120.1,8,15,19,"te2",-0.441666666666666,-0.4,-0.052319842053307,-0.0476190476190477,0.947680157946693,0.952380952380952,-0.333333333333334,0.666666666666666,0.855575925664771
173,"Jamaal Williams","RB","Det",0,0,0,0,0,144,583,4,21,126,1,25,13.7,122.1,8.7,14,47,"rb4",-0.433333333333334,-0.550000000000001,-0.0474452554744526,-0.0594594594594595,0.952554744525547,0.94054054054054,-0.229166666666667,0.770833333333333,0.88797620613314
174,"Alexander Mattison","RB","Min",0,0,0,0,0,118,475,4,22,159,1,28,30.4,113.4,7.6,15,48,"rb4",-1.53333333333333,-1.65,-0.167883211678832,-0.178378378378378,0.832116788321168,0.821621621621622,-0.6875,0.3125,0.655412803314263
176,"Deshaun Watson","QB","Cle",223,340,2545,17,7,64,336,3,0,0,0,0,42.4,243.4,22.1,11,19,"QB2",2.725,3.25,0.140645161290323,0.172413793103448,1.14064516129032,1.17241379310345,0.580357142857143,1.58035714285714,1.2978053657503
177,"Daniel Jones","QB","NYG",333,527,3721,20,12,73,381,3,0,0,0,0,8.9,283.3,18.9,15,20,"QB2",-0.475000000000001,0.0499999999999972,-0.0245161290322581,0.00265251989389905,0.975483870967742,1.0026525198939,0.00892857142857092,1.00892857142857,0.995688320763404
185,"Austin Hooper","TE","Ten",0,0,0,0,0,0,0,0,50,493,4,74,10.1,126.7,8.4,15,20,"te2",-0.0416666666666661,0,-0.00493583415597229,0,0.995064165844028,1,0,1,0.998354721948009
188,"Hayden Hurst","TE","Cin",0,0,0,0,0,0,0,0,52,533,4,74,10.8,133.3,8.3,16,21,"te2",-0.141666666666666,-0.0999999999999996,-0.0167818361303059,-0.0119047619047619,0.983218163869694,0.988095238095238,-0.083333333333333,0.916666666666667,0.9626600228772
189,"Chargers D/ST","D/ST","LAC",0,0,0,0,0,0,0,0,0,0,0,0,46.9,149.7,8.8,17,11,"def1",-0.958333333333332,-0.75,-0.0982066609735268,-0.0785340314136126,0.901793339026473,0.921465968586387,-0.3125,0.6875,0.836919769204287
190,"Browns D/ST","D/ST","Cle",0,0,0,0,0,0,0,0,0,0,0,0,48.3,147.6,8.7,17,12,"def1",-1.05833333333333,-0.850000000000001,-0.108454312553373,-0.0890052356020944,0.891545687446627,0.910994764397906,-0.354166666666667,0.645833333333333,0.816124595059288
191,"Greg Joseph","K","Min",0,0,0,0,0,0,0,0,0,0,0,0,20.5,132.3,7.8,17,11,"k1",-0.274999999999999,-0.3,-0.0340557275541795,-0.037037037037037,0.96594427244582,0.962962962962963,-0.272727272727273,0.727272727272727,0.885393320893837
192,"Jake Elliott","K","Phi",0,0,0,0,0,0,0,0,0,0,0,0,28.1,129.8,7.6,17,12,"k1",-0.475,-0.5,-0.0588235294117647,-0.0617283950617284,0.941176470588235,0.938271604938272,-0.454545454545455,0.545454545454545,0.808300873660351
214,"Albert Okwuegbunam","TE","Den",0,0,0,0,0,0,0,0,46,469,5,61,11.7,125,7.8,16,22,"te2",-0.641666666666667,-0.600000000000001,-0.0760118460019743,-0.0714285714285715,0.923988153998026,0.928571428571428,-0.5,0.5,0.784186527523151
215,"Carson Wentz","QB","Wsh",337,525,3749,24,10,55,217,2,0,0,0,0,9.7,295.8,18.5,16,21,"QB2",-0.875,-0.350000000000001,-0.0451612903225806,-0.0185676392572945,0.954838709677419,0.981432360742705,-0.0625000000000002,0.9375,0.957923690140042
219,"Zach Wilson","QB","NYJ",329,530,3594,21,14,41,212,3,0,0,0,0,9.7,248,16.5,15,22,"QB2",-2.875,-2.35,-0.148387096774194,-0.124668435013263,0.851612903225806,0.875331564986737,-0.419642857142857,0.580357142857143,0.769100537023229
220,"Ryan Tannehill","QB","Ten",334,509,3615,22,14,52,246,4,0,0,0,0,10,298.9,18.7,16,23,"QB2",-0.675000000000001,-0.150000000000002,-0.0348387096774194,-0.00795755968169773,0.965161290322581,0.992042440318302,-0.0267857142857147,0.973214285714285,0.976806005451723
243,"Jameis Winston","QB","NO",305,480,3480,23,13,68,322,2,0,0,0,0,13.6,275.8,18.4,15,24,"QB2",-0.975000000000001,-0.450000000000003,-0.0503225806451614,-0.023872679045093,0.949677419354839,0.976127320954907,-0.0803571428571433,0.919642857142857,0.948482532484201
246,"Gerald Everett","TE","LAC",0,0,0,0,0,0,0,0,50,510,4,72,6.9,130.2,8.1,16,23,"te2",-0.341666666666667,-0.300000000000001,-0.0404738400789734,-0.0357142857142858,0.959526159921027,0.964285714285714,-0.250000000000001,0.749999999999999,0.89127062473558
247,"Logan Thomas","TE","Wsh",0,0,0,0,0,0,0,0,36,384,4,55,11.3,96.9,8.1,12,24,"te2",-0.341666666666667,-0.300000000000001,-0.0404738400789734,-0.0357142857142858,0.959526159921027,0.964285714285714,-0.250000000000001,0.749999999999999,0.89127062473558
