"","franchise_id","player_name","team","pos","keeper_value","user_first"
"1",1,"Browns D/ST","CLE","DST",10,"Brandon"
"2",1,"Jake Elliott","PHI","K",10,"Brandon"
"3",1,"Josh Allen","BUF","QB",12,"Brandon"
"4",1,"Gardner Minshew","IND","QB",10,"Brandon"
"5",1,"Aaron Rodgers","NYJ","QB",10,"Brandon"
"6",1,"Miles Sanders","CAR","RB",15,"Brandon"
"7",1,"Aaron Jones","GBP","RB",37,"Brandon"
"8",1,"Raheem Mostert","MIA","RB",10,"Brandon"
"9",1,"Cam Akers","MIN","RB",17,"Brandon"
"10",1,"Kareem Hunt","CLE","RB",17,"Brandon"
"11",1,"Breece Hall","NYJ","RB",10,"Brandon"
"12",1,"George Kittle","SFO","TE",21,"Brandon"
"13",1,"Taysom Hill","NOS","TE",10,"Brandon"
"14",1,"Christian Watson","GBP","WR",12,"Brandon"
"15",1,"Stefon Diggs","BUF","WR",66,"Brandon"
"16",1,"Amon-Ra St. Brown","DET","WR",28,"Brandon"
"17",1,"Deebo Samuel","SFO","WR",22,"Brandon"
"18",1,"Noah Brown","HOU","WR",10,"Brandon"
"19",2,"Packers D/ST","GBP","DST",10,"Ben"
"20",2,"Dustin Hopkins","CLE","K",10,"Ben"
"21",2,"Joe Burrow","CIN","QB",54,"Ben"
"22",2,"C.J. Stroud","HOU","QB",26,"Ben"
"23",2,"Dameon Pierce","HOU","RB",12,"Ben"
"24",2,"Kenneth Walker III","SEA","RB",12,"Ben"
"25",2,"Zach Charbonnet","SEA","RB",10,"Ben"
"26",2,"Keaton Mitchell","BAL","RB",10,"Ben"
"27",2,"Emanuel Wilson","GBP","RB",10,"Ben"
"28",2,"Luke Musgrave","GBP","TE",10,"Ben"
"29",2,"Evan Engram","JAC","TE",10,"Ben"
"30",2,"Terry McLaurin","WAS","WR",14,"Ben"
"31",2,"A.J. Brown","PHI","WR",29,"Ben"
"32",2,"Christian Kirk","JAC","WR",17,"Ben"
"33",2,"Josh Downs","IND","WR",10,"Ben"
"34",2,"Brandin Cooks","DAL","WR",10,"Ben"
"35",2,"Romeo Doubs","GBP","WR",10,"Ben"
"36",3,"Vikings D/ST","MIN","DST",10,"Dustin"
"37",3,"Colts D/ST","IND","DST",10,"Dustin"
"38",3,"Harrison Butker","KCC","K",10,"Dustin"
"39",3,"Jalen Hurts","PHI","QB",12,"Dustin"
"40",3,"Kyler Murray","ARI","QB",10,"Dustin"
"41",3,"Christian McCaffrey","SFO","RB",62,"Dustin"
"42",3,"Tony Pollard","DAL","RB",12,"Dustin"
"43",3,"Nick Chubb","CLE","RB",26,"Dustin"
"44",3,"Zack Moss","IND","RB",10,"Dustin"
"45",3,"Cole Kmet","CHI","TE",10,"Dustin"
"46",3,"Sam LaPorta","DET","TE",10,"Dustin"
"47",3,"Tyreek Hill","MIA","WR",39,"Dustin"
"48",3,"CeeDee Lamb","DAL","WR",28,"Dustin"
"49",3,"Nico Collins","HOU","WR",10,"Dustin"
"50",3,"Rashid Shaheed","NOS","WR",10,"Dustin"
"51",3,"Jerry Jeudy","DEN","WR",10,"Dustin"
"52",3,"Justin Jefferson","MIN","WR",16,"Dustin"
"53",4,"Jets D/ST","NYJ","DST",10,"Don"
"54",4,"Evan McPherson","CIN","K",12,"Don"
"55",4,"Justin Herbert","LAC","QB",24,"Don"
"56",4,"Anthony Richardson","IND","QB",12,"Don"
"57",4,"Baker Mayfield","TBB","QB",10,"Don"
"58",4,"Tommy DeVito","NYG","QB",10,"Don"
"59",4,"Rhamondre Stevenson","NEP","RB",12,"Don"
"60",4,"Josh Jacobs","OAK","RB",24,"Don"
"61",4,"Jaylen Warren","PIT","RB",10,"Don"
"62",4,"D'Andre Swift","PHI","RB",21,"Don"
"63",4,"De'Von Achane","MIA","RB",10,"Don"
"64",4,"Dallas Goedert","PHI","TE",12,"Don"
"65",4,"Hunter Henry","NEP","TE",10,"Don"
