"","franchise_id","franchise_name","player_id","player_name","team","pos","status","acquisition_type","trans_date","player_value","suspension","susp_factor","keeper_base","keeper_value"
"1",1,"NA NA",-16005,"Browns D/ST","CLE","DST","NORMAL","DRAFT",2023-09-03,1,0,1,1,10
"2",1,"NA NA",3050478,"Jake Elliott","PHI","K","NORMAL","ADD",2023-10-04,1,0,1,1,10
"3",1,"NA NA",3918298,"Josh Allen","BUF","QB","NORMAL","DRAFT",2023-09-03,10,0,1,10,12
"4",1,"NA NA",4038524,"Gardner Minshew","IND","QB","NORMAL","ADD",2023-11-19,1,0,1,1,10
"5",1,"NA NA",8439,"Aaron Rodgers","NYJ","QB","NORMAL","ADD",2023-11-23,1,0,1,1,10
"6",1,"NA NA",4045163,"Miles Sanders","CAR","RB","NORMAL","DRAFT",2023-09-03,13,0,1,13,15
"7",1,"NA NA",3042519,"Aaron Jones","GBP","RB","NORMAL","DRAFT",2023-09-03,32,0,1,32,37
"8",1,"NA NA",2576414,"Raheem Mostert","MIA","RB","NORMAL","DRAFT",2023-09-03,2,0,1,2,10
"9",1,"NA NA",4240021,"Cam Akers","MIN","RB","NORMAL","ADD",2023-09-21,15,0,1,15,17
"10",1,"NA NA",3059915,"Kareem Hunt","CLE","RB","NORMAL","ADD",2023-09-21,15,0,1,15,17
"11",1,"NA NA",4427366,"Breece Hall","NYJ","RB","NORMAL","TRADE",2023-11-18,1,0,1,1,10
"12",1,"NA NA",3040151,"George Kittle","SFO","TE","NORMAL","DRAFT",2023-09-03,18,0,1,18,21
"13",1,"NA NA",2468609,"Taysom Hill","NOS","TE","NORMAL","ADD",2023-10-25,1,0,1,1,10
"14",1,"NA NA",4248528,"Christian Watson","GBP","WR","NORMAL","DRAFT",2023-09-03,10,0,1,10,12
"15",1,"NA NA",2976212,"Stefon Diggs","BUF","WR","NORMAL","DRAFT",2023-09-03,57,0,1,57,66
"16",1,"NA NA",4374302,"Amon-Ra St. Brown","DET","WR","NORMAL","DRAFT",2023-09-03,24,0,1,24,28
"17",1,"NA NA",3126486,"Deebo Samuel","SFO","WR","NORMAL","DRAFT",2023-09-03,19,0,1,19,22
