"gsis_id","name","position","games","pts_tot","pts_avg","pts_std_tot","pts_std_avg","pts_adj_tot","pts_adj_avg"
"00-0036059","T.Mabry","TE",1,8.04,8.04,7.7,7.7,0.34,0.34
"00-0036096","J.Taylor","RB",1,3.58,3.58,2.7,2.7,0.88,0.88
"00-0036133","J.Proche","WR",7,7.98,1.14,12.2,1.74285714285714,-4.22,-0.602857142857143
"00-0036145","L.Cager","TE",6,28.6,4.76666666666667,30.8,5.13333333333333,-2.2,-0.366666666666667
"00-0036158","J.Dobbins","RB",8,114.12,14.265,81.2,10.15,32.92,4.115
"00-0036165","I.Hodgins","WR",9,104.86,11.6511111111111,100.2,11.1333333333333,4.66,0.517777777777778
"00-0036176","M.Kinsey","WR",1,1.64,1.64,1.3,1.3,0.34,0.34
"00-0036182","N.Westbrook-Ikhine","WR",15,74.7,4.98,82.7,5.51333333333333,-8,-0.533333333333333
"00-0036187","R.Gilliam","RB",4,22.3,5.575,20.9,5.225,1.4,0.35
"00-0036194","D.Asiasi","TE",3,1.86,0.62,2.5,0.833333333333333,-0.64,-0.213333333333333
"00-0036196","G.Davis","WR",15,160.22,10.6813333333333,173.6,11.5733333333333,-13.38,-0.892
"00-0036212","T.Tagovailoa","QB",13,273.59,21.0453846153846,283.62,21.8169230769231,-10.03,-0.771538461538463
"00-0036219","M.Callaway","WR",10,32.68,3.268,37.8,3.78,-5.12,-0.512
"00-0036223","J.Taylor","RB",11,204.34,18.5763636363636,152.4,13.8545454545455,51.94,4.72181818181818
"00-0036228","D.Patmon","WR",2,4.88,2.44,8.8,4.4,-3.92,-1.96
"00-0036232","H.Bryant","TE",14,64.8,4.62857142857143,61.7,4.40714285714286,3.1,0.221428571428571
"00-0036233","D.Peoples-Jones","WR",17,160.86,9.46235294117647,163.1,9.59411764705882,-2.24,-0.131764705882353
"00-0036244","C.Parkinson","TE",14,71.76,5.12571428571429,69.2,4.94285714285714,2.56,0.182857142857143
"00-0036247","F.Swain","WR",3,11.44,3.81333333333333,11.4,3.8,0.0399999999999999,0.0133333333333333
