"game_id","gsis_id","name","position","game","pts_gm","pts_gm_std","pts_gm_adj"
"2021_01_CLE_KC","00-0032956","A.Janovich","FB",1,-0.66,0,-0.66
"2021_01_CLE_KC","00-0033040","T.Hill","WR",1,38.44,37.1,1.34
"2021_01_CLE_KC","00-0033873","P.Mahomes","QB",1,44.23,39.48,4.75
"2021_01_CLE_KC","00-0033885","D.Njoku","TE",1,10.3,10.6,-0.3
"2021_01_CLE_KC","00-0033923","K.Hunt","RB",1,17.9,14.9,3
"2021_01_CLE_KC","00-0034297","B.Pringle","WR",1,1.28,1.6,-0.32
"2021_01_CLE_KC","00-0034301","Da.Williams","RB",1,0.64,0.4,0.24
"2021_01_CLE_KC","00-0034791","N.Chubb","RB",1,29.76,24.1,5.66
"2021_01_CLE_KC","00-0034855","B.Mayfield","QB",1,14.61,11.54,3.07
"2021_01_CLE_KC","00-0035140","M.Hardman","WR",1,5.92,4.9,1.02
"2021_01_CLE_KC","00-0036232","H.Bryant","TE",1,2.38,2.7,-0.32
"2021_01_CLE_KC","00-0036233","D.Peoples-Jones","WR",1,1.74,1.4,0.34
"2021_01_CLE_KC","00-0036360","C.Edwards-Helaire","RB",1,13.14,10.2,2.94
"2021_01_CLE_KC","00-0036999","A.Schwartz","WR",1,12.32,11.6,0.72
"2021_01_DAL_TB","00-0019596","T.Brady","QB",1,37.96,35.16,2.8
"2021_01_DAL_TB","00-0027656","R.Gronkowski","TE",1,31.72,29,2.72
"2021_01_DAL_TB","00-0027793","A.Brown","WR",1,24.44,23.7,0.74
"2021_01_DAL_TB","00-0030456","G.Bernard","RB",1,3.22,3.2,0.02
"2021_01_DAL_TB","00-0031408","M.Evans","WR",1,4.44,5.4,-0.96
"2021_01_DAL_TB","00-0031544","A.Cooper","WR",1,40.68,38.9,1.78
"2021_01_DAL_TB","00-0033045","E.Elliott","RB",1,8.56,5.9,2.66
"2021_01_DAL_TB","00-0033077","D.Prescott","QB",1,43.5,33.42,10.08
"2021_01_DAL_TB","00-0033658","B.Jarwin","TE",1,6.02,5,1.02
"2021_01_DAL_TB","00-0033856","L.Fournette","RB",1,13.2,10.9,2.3
"2021_01_DAL_TB","00-0033921","C.Godwin","WR",1,25.92,25.5,0.42
"2021_01_DAL_TB","00-0034383","D.Schultz","TE",1,12.54,10.5,2.04
"2021_01_DAL_TB","00-0034418","C.Wilson","WR",1,6.42,5.4,1.02
"2021_01_DAL_TB","00-0034764","M.Gallup","WR",1,6.98,7.6,-0.62
"2021_01_DAL_TB","00-0034816","R.Jones","RB",1,2.24,1.4,0.84
"2021_01_DAL_TB","00-0035261","T.Pollard","RB",1,10.5,8.3,2.2
